南瓜燈	南瓜燈 🎃
萬聖節	萬聖節 🎃
南瓜	南瓜 🎃
聖誕樹	聖誕樹 🎄
節日樹	節日樹 🎄 🎋
聖誕	聖誕 🎄 🇨🇽
煙火	煙火 🎆
煙花	煙花 🎆 🧨
煙火秀	煙火秀 🎆
煙花棒	煙花棒 🎇
火花棒	火花棒 🎇
煙火棒	煙火棒 🎇
鞭炮	鞭炮 🧨
爆竹	爆竹 🧨
星光	星光 ✨
閃光	閃光 ✨ ❇️
閃耀	閃耀 ✨
氣球	氣球 🎈
生日氣球	生日氣球 🎈
派對氣球	派對氣球 🎈
派對炮	派對炮 🎉
慶祝炮	慶祝炮 🎉
彩帶炮	彩帶炮 🎉
彩球	彩球 🎊
慶祝球	慶祝球 🎊
派對球	派對球 🎊
七夕樹	七夕樹 🎋
許願樹	許願樹 🎋
松飾	松飾 🎍
新年松飾	新年松飾 🎍
節日松飾	節日松飾 🎍
雛人偶	雛人偶 🎎
日本人偶	日本人偶 🎎
節日人偶	節日人偶 🎎
鯉魚旗	鯉魚旗 🎏
節日旗	節日旗 🎏
日本旗	日本旗 🎏 🎌
風鈴	風鈴 🎐
夏日風鈴	夏日風鈴 🎐
日本風鈴	日本風鈴 🎐
賞月	賞月 🎑
中秋月亮	中秋月亮 🎑
月亮祭	月亮祭 🎑
紅包	紅包 🧧
壓歲錢	壓歲錢 🧧
紅信封	紅信封 🧧
緞帶	緞帶 🎀
禮物帶	禮物帶 🎀
彩帶	彩帶 🎀
禮物	禮物 🎁
包裝禮物	包裝禮物 🎁
節日禮物	節日禮物 🎁
緬懷帶	緬懷帶 🎗️
紀念帶	紀念帶 🎗️
黃絲帶	黃絲帶 🎗️
入場券	入場券 🎟️
門票	門票 🎟️ 🎫
票券	票券 🎟️ 🎫
入場票	入場票 🎫
勳章	勳章 🎖️ 🏆 🏅 🥇 🥈 🥉
獎章	獎章 🎖️ 🏆 🏅 🥇 🥈 🥉
榮譽章	榮譽章 🎖️
獎盃	獎盃 🏆
冠軍盃	冠軍盃 🏆
獎品	獎品 🏆
獎牌	獎牌 🏅 🎖️ 🏆 🥇 🥈 🥉
運動獎牌	運動獎牌 🏅
金牌	金牌 🏅 🥇
冠軍	冠軍 🥇
第一名	第一名 🥇
銀牌	銀牌 🥈
第二名	第二名 🥈
亞軍	亞軍 🥈
銅牌	銅牌 🥉
第三名	第三名 🥉
季軍	季軍 🥉
足球	足球 ⚽
球賽	球賽 ⚽ ⚾ 🥎 🏀 🏐 🏈 🏉 🎾 🎳 🏏 🏑 🏒 🥍 🏸
足球賽	足球賽 ⚽
棒球	棒球 ⚾
棒球賽	棒球賽 ⚾
壘球	壘球 🥎
壘球賽	壘球賽 🥎
籃球	籃球 🏀
籃球賽	籃球賽 🏀
排球	排球 🏐
排球賽	排球賽 🏐
美式足球	美式足球 🏈
橄欖球	橄欖球 🏈 🏉
橄欖球賽	橄欖球賽 🏉
網球	網球 🎾
網球賽	網球賽 🎾
飛盤	飛盤 🥏
圓盤	圓盤 🥏
投擲盤	投擲盤 🥏
保齡球	保齡球 🎳
保齡球賽	保齡球賽 🎳
板球	板球 🏏
板球賽	板球賽 🏏
曲棍球	曲棍球 🏑
曲棍球賽	曲棍球賽 🏑
冰球	冰球 🏒
冰球賽	冰球賽 🏒
長曲棍球	長曲棍球 🥍
長曲棍球賽	長曲棍球賽 🥍
乒乓球	乒乓球 🏓
桌球	桌球 🏓 🎱
乒乓球賽	乒乓球賽 🏓
羽毛球	羽毛球 🏸
羽毛球賽	羽毛球賽 🏸
拳擊手套	拳擊手套 🥊
拳擊	拳擊 🥊
比賽	比賽 🥊 ⚽ ⚾ 🥎 🏀 🏐 🏈 🏉 🎾 🥏 🎳 🏏 🏑 🏒 🥍 🏓 🏸 🥋 🥅 ⛳ ⛸️ 🎣 🤿 🎽 🎿 🛷 🥌
武術服	武術服 🥋
空手道服	空手道服 🥋
武術	武術 🥋
球門	球門 🥅
足球門	足球門 🥅
球網	球網 🥅
高爾夫	高爾夫 ⛳
球洞	球洞 ⛳
高爾夫球	高爾夫球 ⛳
溜冰鞋	溜冰鞋 ⛸️
冰鞋	冰鞋 ⛸️
滑冰	滑冰 ⛸️
釣魚	釣魚 🎣
釣竿	釣竿 🎣
垂釣	垂釣 🎣
潛水	潛水 🤿
潛水面罩	潛水面罩 🤿
水下	水下 🤿
跑步衣	跑步衣 🎽
運動衣	運動衣 🎽
跑步	跑步 🎽
滑雪	滑雪 🎿
雪板	雪板 🎿
滑雪板	滑雪板 🎿
雪橇	雪橇 🛷
冰橇	冰橇 🛷
滑雪橇	滑雪橇 🛷
冰壺	冰壺 🥌
冰上運動	冰上運動 🥌
冰壺賽	冰壺賽 🥌
飛鏢	飛鏢 🎯
靶心	靶心 🎯
射擊	射擊 🎯
溜溜球	溜溜球 🪀
玩具球	玩具球 🪀
懸掛球	懸掛球 🪀
風箏	風箏 🪁
放風箏	放風箏 🪁
飛行	飛行 🪁
水槍	水槍 🔫
玩具槍	玩具槍 🔫
射水	射水 🔫
撞球	撞球 🎱
撞球賽	撞球賽 🎱
水晶球	水晶球 🔮
預言球	預言球 🔮
魔法球	魔法球 🔮
魔杖	魔杖 🪄
魔法棒	魔法棒 🪄
魔術	魔術 🪄
遊戲機	遊戲機 🎮
電玩機	電玩機 🎮
遊戲控制器	遊戲控制器 🎮
搖桿	搖桿 🕹️
控制桿	控制桿 🕹️
遊戲桿	遊戲桿 🕹️
老虎機	老虎機 🎰
賭博機	賭博機 🎰
投幣機	投幣機 🎰
骰子	骰子 🎲
擲骰子	擲骰子 🎲
桌遊	桌遊 🎲
拼圖	拼圖 🧩
拼圖塊	拼圖塊 🧩
拼圖遊戲	拼圖遊戲 🧩
泰迪熊	泰迪熊 🧸
玩具熊	玩具熊 🧸
毛絨熊	毛絨熊 🧸
彩罐	彩罐 🪅
節慶罐	節慶罐 🪅
派對罐	派對罐 🪅
反光球	反光球 🪩
舞會球	舞會球 🪩
鏡球	鏡球 🪩
套娃	套娃 🪆
俄羅斯娃娃	俄羅斯娃娃 🪆
木偶	木偶 🪆
黑桃	黑桃 ♠️
撲克牌	撲克牌 ♠️ ♥️ ♦️ ♣️ 🃏
黑桃A	黑桃A ♠️
紅心	紅心 ♥️ ❤️
紅心A	紅心A ♥️
方塊	方塊 ♦️
方塊A	方塊A ♦️
梅花	梅花 ♣️
梅花A	梅花A ♣️
棋子	棋子 ♟️
國際象棋	國際象棋 ♟️
棋盤	棋盤 ♟️
小丑	小丑 🃏 🤡 💩 👹 👺 👻 👽 👾 🤖
小丑牌	小丑牌 🃏
麻將	麻將 🀄
紅中	紅中 🀄
麻將牌	麻將牌 🀄
花牌	花牌 🎴
日本花牌	日本花牌 🎴
卡牌	卡牌 🎴
表演	表演 🎭
戲劇	戲劇 🎭
面具	面具 🎭
畫框	畫框 🖼️
圖片框	圖片框 🖼️
畫作	畫作 🖼️
調色盤	調色盤 🎨
顏料盤	顏料盤 🎨
畫畫	畫畫 🎨
線	線 🧵
縫紉線	縫紉線 🧵
織布線	織布線 🧵
縫針	縫針 🪡
針	針 🪡
縫紉	縫紉 🪡
毛線	毛線 🧶
編織線	編織線 🧶
毛衣線	毛衣線 🧶
結	結 🪢
繩結	繩結 🪢
打結	打結 🪢
猴臉	猴臉 🐵 🙈 🙉 🙊
猴子	猴子 🐵 🐒
臉猴	臉猴 🐵
猴	猴 🐒
靈長類	靈長類 🐒 🦧
大猩	大猩 🦍
猩猩	猩猩 🦍 🦧
大猩猩	大猩猩 🦍
紅毛猩猩	紅毛猩猩 🦧
狗臉	狗臉 🐶
小狗	小狗 🐶 🐕
狗頭	狗頭 🐶
狗	狗 🐕
犬	犬 🐕
導盲	導盲 🦮
導盲犬	導盲犬 🦮
幫助犬	幫助犬 🦮 🐕‍🦺
工作犬	工作犬 🐕‍🦺
服務犬	服務犬 🐕‍🦺
貴賓	貴賓 🐩
貴賓犬	貴賓犬 🐩
卷毛狗	卷毛狗 🐩
狼	狼 🐺
野狼	野狼 🐺
灰狼	灰狼 🐺
狐	狐 🦊
狐狸	狐狸 🦊
小狐	小狐 🦊
浣熊	浣熊 🦝
小浣熊	小浣熊 🦝
洗熊	洗熊 🦝
貓臉	貓臉 🐱 😺 😸 😹 😻 😼 😽 🙀 😿 😾
小貓	小貓 🐱 🐈
貓頭	貓頭 🐱
貓	貓 🐈
家貓	家貓 🐈
黑貓	黑貓 🐈‍⬛
黑色貓	黑色貓 🐈‍⬛
小黑貓	小黑貓 🐈‍⬛
獅	獅 🦁
獅子	獅子 🦁
森林之王	森林之王 🦁
虎臉	虎臉 🐯
老虎臉	老虎臉 🐯
虎頭	虎頭 🐯
虎	虎 🐅
老虎	老虎 🐅
大貓	大貓 🐅
豹	豹 🐆
獵豹	獵豹 🐆
斑點貓	斑點貓 🐆
馬臉	馬臉 🐴
馬頭	馬頭 🐴
小馬臉	小馬臉 🐴
麋鹿	麋鹿 🫎 🦌
大鹿	大鹿 🫎
北美鹿	北美鹿 🫎
驢	驢 🫏
小驢	小驢 🫏
驢子	驢子 🫏
馬	馬 🐎
