讚	讚 👍 👏 🙌
爛	爛 👎
寫	寫 ✍️

上	上 ⬆️
右上	右上 ↗️
右	右 ➡️
右下	右下 ↘️
下	下 ⬇️
左下	左下 ↙️
左	左 ⬅️
左上	左上 ↖️
上下	上下 ↕️
左右	左右 ↔️
左轉	左轉 ↩️
右轉	右轉 ↪️
上彎	上彎 ⤴️
下彎	下彎 ⤵️
上下轉	上下轉 🔃
旋轉	旋轉 🔄
返回	返回 🔙
結束	結束 🔚
啟用	啟用 🔛
很快	很快 🔜
頂部	頂部 🔝

錯誤	錯誤 ❌
警告	警告 ⚠️
停止	停止 ⛔
禁止	禁止 🚫
失敗	失敗 💥
注意	注意 📢
資訊	資訊 ℹ️
成功	成功 ✅
通過	通過 ☑️
確認	確認 ✔️
疑問	疑問 ❓
進行中	進行中 🔄
等待	等待 ⌛
完成	完成 🏁
回傳	回傳 🔙
開始	開始 🟢
重試	重試 🔁
重啟	重啟 🔄
記錄	記錄 📝
鎖定	鎖定 🔒
解鎖	解鎖 🔓
運行	運行 ▶️
中止	中止 🛑
部署	部署 🚀
計時	計時 ⏱️
設置	設置 ⚙️
除錯	除錯 🐞
備註	備註 💬
標記	標記 📌
追蹤	追蹤 📍
搜尋	搜尋 🔍
測試	測試 🧪
通訊	通訊 📨
更新	更新 🔃
同步	同步 🔄
分支	分支 🌿
合併	合併 🔀
版本	版本 🧾
密鑰	密鑰 🔑
授權	授權 🛡️
風險	風險 ☢️
驗證	驗證 🔐
數據	數據 📊
圖表	圖表 📊
趨勢	趨勢 📈
向上	向上 📈
向下	向下 📉

資料庫	資料庫 🗄️
儲存	儲存 💾
接口	接口 🔌
抽象	抽象 🧩
實作	實作 🛠️
類別	類別 🧱
實例	實例 🧍
服務	服務 🛎️
模組	模組 📦
檢查器	檢查器 🧐
邏輯	邏輯 ♻️
流程	流程 🔁
資源	資源 📚
中介層	中介層 🪟
任務	任務 📋
指令	指令 📜
依賴	依賴 🧷
配置	配置 🧰
記憶體	記憶體 🧠
